id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,renovated
7129300520,12.309982108920686,3,1,7.07326971745971,5650,1,0,0,3,7,1180,0,98178,47.5112,-122.257,1340,5650,59,0
6414100192,13.195613839143922,3,2,7.851661177889265,7242,2,0,0,3,7,2170,400,98125,47.721000000000004,-122.319,1690,7639,63,1
5631500400,12.100712129872347,2,1,6.646390514847729,10000,1,0,0,3,6,770,0,98028,47.7379,-122.23299999999999,2720,8062,82,0
2487200875,13.311329476916953,4,3,7.580699752224563,5000,1,0,0,5,7,1050,910,98136,47.5208,-122.39299999999999,1360,5000,49,0
1954400510,13.142166004700508,3,2,7.426549072397305,8080,1,0,0,3,8,1680,0,98074,47.6168,-122.045,1800,7503,28,0
7237550310,14.018451401960965,4,4,8.597851094433691,101930,1,0,0,3,11,3890,1530,98053,47.6561,-122.005,4760,101930,13,0
1321400060,12.458774999085929,3,2,7.44716835960004,6819,2,0,0,3,7,1715,0,98003,47.3097,-122.32700000000001,2238,6819,19,0
2008000270,12.583995250631936,3,1,6.966024187106113,9711,1,0,0,3,7,1060,0,98198,47.4095,-122.315,1650,9711,52,0
2414600126,12.343658308482738,3,1,7.484368643286131,7470,1,0,0,3,7,1050,730,98146,47.5123,-122.337,1780,8113,55,0
3793500160,12.685407602204794,3,2,7.5443321080536885,6560,2,0,0,3,7,1890,0,98038,47.3684,-122.031,2390,7570,12,0
1736800520,13.403775836842515,3,2,8.177515823846075,9796,1,0,0,3,8,1860,1700,98007,47.6007,-122.145,2210,8925,50,0
9212900260,13.056223574899784,2,1,7.05617528410041,6000,1,0,0,4,7,860,300,98115,47.69,-122.292,1330,6000,72,0
114101516,12.644327576461329,3,1,7.265429723253953,19901,1,0,0,4,7,1430,0,98028,47.7558,-122.229,1780,12697,87,0
6054650070,12.89921982609012,3,1,7.222566018822171,9680,1,0,0,4,7,1370,0,98074,47.6127,-122.045,1370,10208,37,0
1175000570,13.180632285528304,5,2,7.501082124259871,4850,1,0,0,3,7,1810,0,98107,47.67,-122.39399999999999,1360,4850,115,0
9297300055,13.38472764187182,4,3,7.989560449333865,5000,2,0,3,3,9,1980,970,98126,47.5714,-122.375,2140,4000,36,0
1875500060,12.886641043883259,3,2,7.5443321080536885,14040,2,0,0,3,7,1890,0,98019,47.7277,-121.962,1890,14018,20,0
6865200140,13.091904169919621,4,1,7.3777589082278725,4300,1,0,0,4,7,1600,0,98103,47.6648,-122.34299999999999,1610,4300,98,0
16000397,12.14950229404178,2,1,7.090076835776092,9850,1,0,0,4,7,1200,0,98002,47.3089,-122.21,1060,5095,93,0
7983200060,12.345834587905333,3,1,7.1308988302963465,9774,1,0,0,4,7,1250,0,98003,47.3343,-122.306,1280,8850,46,0
6300500875,12.86099861326992,4,1,7.3901814282264295,4980,1,0,0,4,7,860,760,98133,47.7025,-122.34100000000001,1400,4980,67,0
2524049179,14.508657738524219,3,2,8.022896869601457,44867,1,0,4,3,9,2330,720,98040,47.5316,-122.23299999999999,4110,20336,46,0
7137970340,12.560244459250788,5,2,7.727535110475448,6300,2,0,0,3,8,2270,0,98092,47.3266,-122.169,2240,7005,19,0
